ID,Code,LongDescription
11949,"E0890","TRACTION FRAME, ATTACHED TO FOOTBOARD, PELVIC TRACTION"
11950,"E0900","TRACTION STAND, FREE STANDING, PELVIC TRACTION, (E.G., BUCK'S)"
11951,"E0910","TRAPEZE BARS, A/K/A PATIENT HELPER, ATTACHED TO BED, WITH GRAB BAR"
11952,"E0911","TRAPEZE BAR, HEAVY DUTY, FOR PATIENT WEIGHT CAPACITY GREATER THAN 250 POUNDS,"
11953,"E0912","TRAPEZE BAR, HEAVY DUTY, FOR PATIENT WEIGHT CAPACITY GREATER THAN 250 POUNDS,"
11954,"E0935","CONTINUOUS PASSIVE MOTION EXERCISE DEVICE FOR USE ON KNEE ONLY"
11955,"E0971","MANUAL WHEELCHAIR ACCESSORY, ANTI-TIPPING DEVICE, EACH"
11956,"E0973","WHEELCHAIR ACCESSORY, ADJUSTABLE HEIGHT, DETACHABLE ARMREST, COMPLETE ASSEMBLY,"
11957,"E0974","MANUAL WHEELCHAIR ACCESSORY, ANTI-ROLLBACK DEVICE, EACH"
11958,"E0936","CONTINUOUS PASSIVE MOTION EXERCISE DEVICE FOR USE OTHER THAN KNEE"
11959,"E0940","TRAPEZE BAR, FREE STANDING, COMPLETE WITH GRAB BAR"
11960,"E0941","GRAVITY ASSISTED TRACTION DEVICE, ANY TYPE"
11961,"E0942","CERVICAL HEAD HARNESS/HALTER"
11962,"E0944","PELVIC BELT/HARNESS/BOOT"
11963,"E0945","EXTREMITY BELT/HARNESS"
11964,"E0946","FRACTURE, FRAME, DUAL WITH CROSS BARS, ATTACHED TO BED, (E.G. BALKEN, 4 POSTER)"
11965,"E0947","FRACTURE FRAME, ATTACHMENTS FOR COMPLEX PELVIC TRACTION"
11966,"E0948","FRACTURE FRAME, ATTACHMENTS FOR COMPLEX CERVICAL TRACTION"
11967,"E0950","WHEELCHAIR ACCESSORY, TRAY, EACH"
11968,"E0951","HEEL LOOP/HOLDER, ANY TYPE, WITH OR WITHOUT ANKLE STRAP, EACH"
11969,"E0952","TOE LOOP/HOLDER, ANY TYPE, EACH"
11970,"E0955","WHEELCHAIR ACCESSORY, HEADREST, CUSHIONED, ANY TYPE, INCLUDING FIXED MOUNTING"
11971,"E0956","WHEELCHAIR ACCESSORY, LATERAL TRUNK OR HIP SUPPORT, ANY TYPE, INCLUDING FIXED"
11972,"E0957","WHEELCHAIR ACCESSORY, MEDIAL THIGH SUPPORT, ANY TYPE, INCLUDING FIXED MOUNTING"
11973,"E0958","MANUAL WHEELCHAIR ACCESSORY, ONE-ARM DRIVE ATTACHMENT, EACH"
11974,"E0959","MANUAL WHEELCHAIR ACCESSORY, ADAPTER FOR AMPUTEE, EACH"
11975,"E0960","WHEELCHAIR ACCESSORY, SHOULDER HARNESS/STRAPS OR CHEST STRAP, INCLUDING ANY"
11976,"E0961","MANUAL WHEELCHAIR ACCESSORY, WHEEL LOCK BRAKE EXTENSION (HANDLE), EACH"
11977,"E0966","MANUAL WHEELCHAIR ACCESSORY, HEADREST EXTENSION, EACH"
11978,"E0967","MANUAL WHEELCHAIR ACCESSORY, HAND RIM WITH PROJECTIONS, ANY TYPE, EACH"
11979,"E1011","MODIFICATION TO PEDIATRIC SIZE WHEELCHAIR, WIDTH ADJUSTMENT PACKAGE (NOT TO BE"
11980,"E1014","RECLINING BACK, ADDITION TO PEDIATRIC SIZE WHEELCHAIR"
11981,"E1015","SHOCK ABSORBER FOR MANUAL WHEELCHAIR, EACH"
11982,"E1016","SHOCK ABSORBER FOR POWER WHEELCHAIR, EACH"
11983,"E1017","HEAVY DUTY SHOCK ABSORBER FOR HEAVY DUTY OR EXTRA HEAVY DUTY MANUAL WHEELCHAIR,"
11984,"E1018","HEAVY DUTY SHOCK ABSORBER FOR HEAVY DUTY OR EXTRA HEAVY DUTY POWER WHEELCHAIR,"
11985,"E1020","RESIDUAL LIMB SUPPORT SYSTEM FOR WHEELCHAIR"
11986,"E0968","COMMODE SEAT, WHEELCHAIR"
11987,"E0969","NARROWING DEVICE, WHEELCHAIR"
11988,"E0970","NO.2 FOOTPLATES, EXCEPT FOR ELEVATING LEG REST"
11989,"E0978","WHEELCHAIR ACCESSORY,  POSITIONING BELT/SAFETY BELT/PELVIC STRAP, EACH"
11990,"E0980","SAFETY VEST, WHEELCHAIR"
11991,"E0981","WHEELCHAIR ACCESSORY, SEAT UPHOLSTERY, REPLACEMENT ONLY, EACH"
11992,"E0982","WHEELCHAIR ACCESSORY, BACK UPHOLSTERY, REPLACEMENT ONLY, EACH"
11993,"E0983","MANUAL WHEELCHAIR ACCESSORY, POWER ADD-ON TO CONVERT MANUAL WHEELCHAIR TO"
11994,"E0984","MANUAL WHEELCHAIR ACCESSORY, POWER ADD-ON TO CONVERT MANUAL WHEELCHAIR TO"
11995,"E0985","WHEELCHAIR ACCESSORY, SEAT LIFT MECHANISM"
11996,"E0986","MANUAL WHEELCHAIR ACCESSORY, PUSH ACTIVATED POWER ASSIST, EACH"
11997,"E0990","WHEELCHAIR ACCESSORY, ELEVATING LEG REST, COMPLETE ASSEMBLY, EACH"
11998,"E0992","MANUAL WHEELCHAIR ACCESSORY, SOLID SEAT INSERT"
11999,"E0994","ARM REST, EACH"
12000,"E0995","WHEELCHAIR ACCESSORY, CALF REST/PAD, EACH"
12001,"E1002","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, TILT ONLY"
12002,"E1003","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, RECLINE ONLY, WITHOUT SHEAR"
12003,"E1004","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, RECLINE ONLY, WITH MECHANICAL SHEAR"
12004,"E1005","WHEELCHAIR ACCESSORY, POWER SEATNG SYSTEM, RECLINE ONLY, WITH POWER SHEAR"
12005,"E1006","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE,"
12006,"E1007","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITH"
12007,"E1008","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITH"
12008,"E1009","WHEELCHAIR ACCESSORY, ADDITION TO POWER SEATING SYSTEM, MECHANICALLY LINKED LEG"
12009,"E1010","WHEELCHAIR ACCESSORY, ADDITION TO POWER SEATING SYSTEM, POWER LEG ELEVATION"
12010,"E1035","MULTI-POSITIONAL PATIENT TRANSFER SYSTEM, WITH INTEGRATED SEAT, OPERATED BY"
12011,"E1140","WHEELCHAIR, DETACHABLE ARMS, DESK OR FULL LENGTH, SWING AWAY DETACHABLE"
12012,"E1036","MULTI-POSITIONAL PATIENT TRANSFER SYSTEM, EXTRA-WIDE, WITH INTEGRATED SEAT,"
12013,"E1037","TRANSPORT CHAIR, PEDIATRIC SIZE"
12014,"E1038","TRANSPORT CHAIR, ADULT SIZE, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300"
12015,"E1039","TRANSPORT CHAIR, ADULT SIZE, HEAVY DUTY, PATIENT WEIGHT CAPACITY GREATER THAN"
12016,"E1050","FULLY-RECLINING WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE"
12017,"E1060","FULLY-RECLINING WHEELCHAIR, DETACHABLE ARMS, DESK OR FULL LENGTH, SWING AWAY"
12018,"E1070","FULLY-RECLINING WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAY"
12019,"E1083","HEMI-WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING LEG"
12020,"E1084","HEMI-WHEELCHAIR, DETACHABLE ARMS DESK OR FULL LENGTH ARMS, SWING AWAY"
12021,"E1085","HEMI-WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE FOOT RESTS"
12022,"E1086","HEMI-WHEELCHAIR DETACHABLE ARMS DESK OR FULL LENGTH, SWING AWAY DETACHABLE"
12023,"E1087","HIGH STRENGTH LIGHTWEIGHT WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY"
12024,"E1088","HIGH STRENGTH LIGHTWEIGHT WHEELCHAIR, DETACHABLE ARMS DESK OR FULL LENGTH,"
12025,"E1089","HIGH STRENGTH LIGHTWEIGHT WHEELCHAIR, FIXED LENGTH ARMS, SWING AWAY DETACHABLE"
12026,"E1090","HIGH STRENGTH LIGHTWEIGHT WHEELCHAIR, DETACHABLE ARMS DESK OR FULL LENGTH,"
12027,"E1092","WIDE HEAVY DUTY WHEEL CHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH), SWING AWAY"
12028,"E1093","WIDE HEAVY DUTY WHEELCHAIR, DETACHABLE ARMS DESK OR FULL LENGTH ARMS, SWING"
12029,"E1100","SEMI-RECLINING WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE"
12030,"E1110","SEMI-RECLINING WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) ELEVATING LEG"
12031,"E1130","STANDARD WHEELCHAIR, FIXED FULL LENGTH ARMS, FIXED OR SWING AWAY DETACHABLE"
12032,"E1028","WHEELCHAIR ACCESSORY, MANUAL SWINGAWAY, RETRACTABLE OR REMOVABLE MOUNTING"
12033,"E1029","WHEELCHAIR ACCESSORY, VENTILATOR TRAY, FIXED"
12034,"E1030","WHEELCHAIR ACCESSORY, VENTILATOR TRAY, GIMBALED"
12035,"E1031","ROLLABOUT CHAIR, ANY AND ALL TYPES WITH CASTORS 5 OR GREATER"
12036,"E1150","WHEELCHAIR, DETACHABLE ARMS, DESK OR FULL LENGTH SWING AWAY DETACHABLE"
12037,"E1235","WHEELCHAIR, PEDIATRIC SIZE, RIGID, ADJUSTABLE, WITH SEATING SYSTEM"
12038,"E1236","WHEELCHAIR, PEDIATRIC SIZE, FOLDING, ADJUSTABLE, WITH SEATING SYSTEM"
12039,"E1160","WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING LEGRESTS"
12040,"E1161","MANUAL ADULT SIZE WHEELCHAIR, INCLUDES TILT IN SPACE"
12041,"E1170","AMPUTEE WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING"
12042,"E1171","AMPUTEE WHEELCHAIR, FIXED FULL LENGTH ARMS, WITHOUT FOOTRESTS OR LEGREST"
12043,"E1172","AMPUTEE WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) WITHOUT FOOTRESTS OR"
12044,"E1180","AMPUTEE WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAY DETACHABLE"
12045,"E1190","AMPUTEE WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAY DETACHABLE"
12046,"E1195","HEAVY DUTY WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING"
12047,"E1200","AMPUTEE WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE FOOTREST"
12048,"E1220","WHEELCHAIR; SPECIALLY SIZED OR CONSTRUCTED, (INDICATE BRAND NAME, MODEL NUMBER,"
12049,"E1221","WHEELCHAIR WITH FIXED ARM, FOOTRESTS"
12050,"E1222","WHEELCHAIR WITH FIXED ARM, ELEVATING LEGRESTS"
12051,"E1223","WHEELCHAIR WITH DETACHABLE ARMS, FOOTRESTS"
12052,"E1224","WHEELCHAIR WITH DETACHABLE ARMS, ELEVATING LEGRESTS"
12053,"E1225","WHEELCHAIR ACCESSORY, MANUAL SEMI-RECLINING BACK, (RECLINE GREATER THAN 15"
12054,"E1226","WHEELCHAIR ACCESSORY, MANUAL FULLY RECLINING BACK, (RECLINE GREATER THAN 80"
12055,"E1227","SPECIAL HEIGHT ARMS FOR WHEELCHAIR"
12056,"E1228","SPECIAL BACK HEIGHT FOR WHEELCHAIR"
12057,"E1229","WHEELCHAIR, PEDIATRIC SIZE, NOT OTHERWISE SPECIFIED"
12058,"E1230","POWER OPERATED VEHICLE (THREE OR FOUR WHEEL NONHIGHWAY) SPECIFY BRAND NAME AND"
12059,"E1357","OXYGEN ACCESSORY, BATTERY CHARGER FOR PORTABLE CONCENTRATOR, ANY TYPE,"
12060,"E1358","OXYGEN ACCESSORY, DC POWER ADAPTER FOR PORTABLE CONCENTRATOR, ANY TYPE,"
12061,"E1372","IMMERSION EXTERNAL HEATER FOR NEBULIZER"
12062,"E1390","OXYGEN CONCENTRATOR, SINGLE DELIVERY PORT, CAPABLE OF DELIVERING 85 PERCENT OR"
12063,"E1391","OXYGEN CONCENTRATOR, DUAL DELIVERY PORT, CAPABLE OF DELIVERING 85 PERCENT OR"
12064,"E1392","PORTABLE OXYGEN CONCENTRATOR, RENTAL"
12065,"E1399","DURABLE MEDICAL EQUIPMENT, MISCELLANEOUS"
12066,"E1231","WHEELCHAIR, PEDIATRIC SIZE, TILT-IN-SPACE, RIGID, ADJUSTABLE, WITH SEATING"
12067,"E1232","WHEELCHAIR, PEDIATRIC SIZE, TILT-IN-SPACE, FOLDING, ADJUSTABLE, WITH SEATING"
12068,"E1233","WHEELCHAIR, PEDIATRIC SIZE, TILT-IN-SPACE, RIGID, ADJUSTABLE, WITHOUT SEATING"
12069,"E1234","WHEELCHAIR, PEDIATRIC SIZE, TILT-IN-SPACE, FOLDING, ADJUSTABLE, WITHOUT SEATING"
12070,"E1237","WHEELCHAIR, PEDIATRIC SIZE, RIGID, ADJUSTABLE, WITHOUT SEATING SYSTEM"
12071,"E1238","WHEELCHAIR, PEDIATRIC SIZE, FOLDING, ADJUSTABLE, WITHOUT SEATING SYSTEM"
12072,"E1239","POWER WHEELCHAIR, PEDIATRIC SIZE, NOT OTHERWISE SPECIFIED"
12073,"E1240","LIGHTWEIGHT WHEELCHAIR, DETACHABLE ARMS, (DESK OR FULL LENGTH) SWING AWAY"
12074,"E1250","LIGHTWEIGHT WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE FOOTREST"
12075,"E1260","LIGHTWEIGHT WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAY"
12076,"E1270","LIGHTWEIGHT WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE ELEVATING"
12077,"E1280","HEAVY DUTY WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) ELEVATING LEGRESTS"
12078,"E1285","HEAVY DUTY WHEELCHAIR, FIXED FULL LENGTH ARMS, SWING AWAY DETACHABLE FOOTREST"
12079,"E1290","HEAVY DUTY WHEELCHAIR, DETACHABLE ARMS (DESK OR FULL LENGTH) SWING AWAY"
12080,"E1295","HEAVY DUTY WHEELCHAIR, FIXED FULL LENGTH ARMS, ELEVATING LEGREST"
12081,"E1296","SPECIAL WHEELCHAIR SEAT HEIGHT FROM FLOOR"
12082,"E1297","SPECIAL WHEELCHAIR SEAT DEPTH, BY UPHOLSTERY"
12083,"E1298","SPECIAL WHEELCHAIR SEAT DEPTH AND/OR WIDTH, BY CONSTRUCTION"
12084,"E1300","WHIRLPOOL, PORTABLE (OVERTUB TYPE)"
12085,"E1310","WHIRLPOOL, NON-PORTABLE (BUILT-IN TYPE)"
12086,"E1630","RECIPROCATING PERITONEAL DIALYSIS SYSTEM"
12087,"E1632","WEARABLE ARTIFICIAL KIDNEY, EACH"
12088,"E1634","PERITONEAL DIALYSIS CLAMPS, EACH"
12089,"E1635","COMPACT (PORTABLE) TRAVEL HEMODIALYZER SYSTEM"
12090,"E1636","SORBENT CARTRIDGES, FOR HEMODIALYSIS, PER 10"
12091,"E1637","HEMOSTATS, EACH"
12092,"E1639","SCALE, EACH"
12093,"E1699","DIALYSIS EQUIPMENT, NOT OTHERWISE SPECIFIED"
12094,"E1700","JAW MOTION REHABILITATION SYSTEM"
12095,"E1353","REGULATOR"
12096,"E1354","OXYGEN ACCESSORY, WHEELED CART FOR PORTABLE CYLINDER OR PORTABLE CONCENTRATOR,"
12097,"E1355","STAND/RACK"
12098,"E1356","OXYGEN ACCESSORY, BATTERY PACK/CARTRIDGE FOR PORTABLE CONCENTRATOR, ANY TYPE,"
12099,"E1530","AIR BUBBLE DETECTOR FOR HEMODIALYSIS, EACH, REPLACEMENT"
12100,"E1540","PRESSURE ALARM FOR HEMODIALYSIS, EACH, REPLACEMENT"
12101,"E1550","BATH CONDUCTIVITY METER FOR HEMODIALYSIS, EACH"
12102,"E1560","BLOOD LEAK DETECTOR FOR HEMODIALYSIS, EACH, REPLACEMENT"
12103,"E1570","ADJUSTABLE CHAIR, FOR ESRD PATIENTS"
12104,"E1575","TRANSDUCER PROTECTORS/FLUID BARRIERS, FOR HEMODIALYSIS, ANY SIZE, PER 10"
12105,"E1580","UNIPUNCTURE CONTROL SYSTEM FOR HEMODIALYSIS"
12106,"E1590","HEMODIALYSIS MACHINE"
12107,"E1592","AUTOMATIC INTERMITTENT PERITIONEAL DIALYSIS SYSTEM"
12108,"E1594","CYCLER DIALYSIS MACHINE FOR PERITONEAL DIALYSIS"
12109,"E1600","DELIVERY AND/OR INSTALLATION CHARGES FOR HEMODIALYSIS EQUIPMENT"
12110,"E1610","REVERSE OSMOSIS WATER PURIFICATION SYSTEM, FOR HEMODIALYSIS"
12111,"E1615","DEIONIZER WATER PURIFICATION SYSTEM, FOR HEMODIALYSIS"
12112,"E1620","BLOOD PUMP FOR HEMODIALYSIS, REPLACEMENT"
12113,"E1625","WATER SOFTENING SYSTEM, FOR HEMODIALYSIS"
12114,"E1405","OXYGEN AND WATER VAPOR ENRICHING SYSTEM WITH HEATED DELIVERY"
12115,"E1406","OXYGEN AND WATER VAPOR ENRICHING SYSTEM WITHOUT HEATED DELIVERY"
12116,"E1500","CENTRIFUGE, FOR DIALYSIS"
12117,"E1510","KIDNEY, DIALYSATE DELIVERY SYST. KIDNEY MACHINE, PUMP RECIRCULAT- ING, AIR"
12118,"E1520","HEPARIN INFUSION PUMP FOR HEMODIALYSIS"
12119,"E1805","DYNAMIC ADJUSTABLE WRIST EXTENSION / FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12120,"E2202","MANUAL WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME WIDTH, 24-27 INCHES"
12121,"E1806","STATIC PROGRESSIVE STRETCH WRIST DEVICE, FLEXION AND/OR EXTENSION, WITH OR"
12122,"E1810","DYNAMIC ADJUSTABLE KNEE EXTENSION / FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12123,"E1811","STATIC PROGRESSIVE STRETCH KNEE DEVICE, EXTENSION AND/OR FLEXION,  WITH OR"
12124,"E1812","DYNAMIC KNEE, EXTENSION/FLEXION DEVICE WITH ACTIVE RESISTANCE CONTROL"
12125,"E1815","DYNAMIC ADJUSTABLE ANKLE EXTENSION/FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12126,"E1816","STATIC PROGRESSIVE STRETCH ANKLE DEVICE, FLEXION AND/OR EXTENSION, WITH OR"
12127,"E1818","STATIC PROGRESSIVE STRETCH FOREARM PRONATION / SUPINATION DEVICE, WITH OR"
12128,"E1820","REPLACEMENT SOFT INTERFACE MATERIAL, DYNAMIC ADJUSTABLE EXTENSION/FLEXION DEVICE"
12129,"E1821","REPLACEMENT SOFT INTERFACE MATERIAL/CUFFS FOR BI-DIRECTIONAL STATIC PROGRESSIVE"
12130,"E1825","DYNAMIC ADJUSTABLE FINGER EXTENSION/FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12131,"E1830","DYNAMIC ADJUSTABLE TOE EXTENSION/FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12132,"E1840","DYNAMIC ADJUSTABLE SHOULDER FLEXION / ABDUCTION / ROTATION DEVICE, INCLUDES"
12133,"E1841","STATIC PROGRESSIVE STRETCH SHOULDER DEVICE, WITH OR WITHOUT RANGE OF MOTION"
12134,"E1902","COMMUNICATION BOARD, NON-ELECTRONIC AUGMENTATIVE OR ALTERNATIVE COMMUNICATION"
12135,"E1701","REPLACEMENT CUSHIONS FOR JAW MOTION REHABILITATION SYSTEM, PKG. OF 6"
12136,"E1702","REPLACEMENT MEASURING SCALES FOR JAW MOTION REHABILITATION SYSTEM, PKG. OF 200"
12137,"E1800","DYNAMIC ADJUSTABLE ELBOW EXTENSION/FLEXION DEVICE, INCLUDES SOFT INTERFACE"
12138,"E1801","STATIC PROGRESSIVE STRETCH ELBOW DEVICE, EXTENSION AND/OR FLEXION,  WITH OR"
12139,"E1802","DYNAMIC ADJUSTABLE FOREARM PRONATION/SUPINATION DEVICE, INCLUDES SOFT INTERFACE"
12140,"E2000","GASTRIC SUCTION PUMP, HOME MODEL, PORTABLE OR STATIONARY, ELECTRIC"
12141,"E2100","BLOOD GLUCOSE MONITOR WITH INTEGRATED VOICE SYNTHESIZER"
12142,"E2101","BLOOD GLUCOSE MONITOR WITH INTEGRATED LANCING/BLOOD SAMPLE"
12143,"E2120","PULSE GENERATOR SYSTEM FOR TYMPANIC TREATMENT OF INNER EAR ENDOLYMPHATIC FLUID"
12144,"E2201","MANUAL WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME, WIDTH GREATER THAN OR"
12145,"E2203","MANUAL WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME DEPTH, 20 TO LESS THAN 22"
12146,"E2230","MANUAL WHEELCHAIR ACCESSORY, MANUAL STANDING SYSTEM"
12147,"E2231","MANUAL WHEELCHAIR ACCESSORY, SOLID SEAT SUPPORT BASE (REPLACES SLING SEAT),"
12148,"E2204","MANUAL WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME DEPTH, 22 TO 25 INCHES"
12149,"E2205","MANUAL WHEELCHAIR ACCESSORY, HANDRIM WITHOUT PROJECTIONS (INCLUDES ERGONOMIC OR"
12150,"E2206","MANUAL WHEELCHAIR ACCESSORY, WHEEL LOCK ASSEMBLY, COMPLETE, EACH"
12151,"E2207","WHEELCHAIR ACCESSORY, CRUTCH AND CANE HOLDER, EACH"
12152,"E2208","WHEELCHAIR ACCESSORY, CYLINDER TANK CARRIER, EACH"
12153,"E2209","ACCESSORY, ARM TROUGH, WITH OR WITHOUT HAND SUPPORT, EACH"
12154,"E2210","WHEELCHAIR ACCESSORY, BEARINGS, ANY TYPE, REPLACEMENT ONLY, EACH"
12155,"E2211","MANUAL WHEELCHAIR ACCESSORY, PNEUMATIC PROPULSION TIRE, ANY SIZE, EACH"
12156,"E2212","MANUAL WHEELCHAIR ACCESSORY, TUBE FOR PNEUMATIC PROPULSION TIRE, ANY SIZE, EACH"
12157,"E2213","MANUAL WHEELCHAIR ACCESSORY, INSERT FOR PNEUMATIC PROPULSION TIRE (REMOVABLE),"
12158,"E2214","MANUAL WHEELCHAIR ACCESSORY, PNEUMATIC CASTER TIRE, ANY SIZE, EACH"
12159,"E2215","MANUAL WHEELCHAIR ACCESSORY, TUBE FOR PNEUMATIC CASTER TIRE, ANY SIZE, EACH"
12160,"E2216","MANUAL WHEELCHAIR ACCESSORY, FOAM FILLED PROPULSION TIRE, ANY SIZE, EACH"
12161,"E2217","MANUAL WHEELCHAIR ACCESSORY, FOAM FILLED CASTER TIRE, ANY SIZE, EACH"
12162,"E2218","MANUAL WHEELCHAIR ACCESSORY, FOAM PROPULSION TIRE, ANY SIZE, EACH"
12163,"E2219","MANUAL WHEELCHAIR ACCESSORY, FOAM CASTER TIRE, ANY SIZE, EACH"
12164,"E2220","MANUAL WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) PROPULSION TIRE, ANY SIZE,"
12165,"E2221","MANUAL WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) CASTER TIRE (REMOVABLE),"
12166,"E2222","MANUAL WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) CASTER TIRE WITH INTEGRATED"
12167,"E2224","MANUAL WHEELCHAIR ACCESSORY, PROPULSION WHEEL EXCLUDES TIRE, ANY SIZE, EACH"
12168,"E2225","MANUAL WHEELCHAIR ACCESSORY, CASTER WHEEL EXCLUDES TIRE, ANY SIZE, REPLACEMENT"
12169,"E2226","MANUAL WHEELCHAIR ACCESSORY, CASTER FORK, ANY SIZE, REPLACEMENT ONLY, EACH"
12170,"E2227","MANUAL WHEELCHAIR ACCESSORY, GEAR REDUCTION DRIVE WHEEL, EACH"
12171,"E2228","MANUAL WHEELCHAIR ACCESSORY, WHEEL BRAKING SYSTEM AND LOCK, COMPLETE, EACH"
12172,"E2291","BACK, PLANAR, FOR PEDIATRIC SIZE WHEELCHAIR INCLUDING FIXED ATTACHING HARDWARE"
12173,"E2343","POWER WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME DEPTH, 22-25 INCHES"
12174,"E2292","SEAT, PLANAR, FOR PEDIATRIC SIZE WHEELCHAIR INCLUDING FIXED ATTACHING HARDWARE"
12175,"E2293","BACK, CONTOURED, FOR PEDIATRIC SIZE WHEELCHAIR INCLUDING FIXED ATTACHING"
12176,"E2294","SEAT, CONTOURED, FOR PEDIATRIC SIZE WHEELCHAIR INCLUDING FIXED ATTACHING"
12177,"E2295","MANUAL WHEELCHAIR ACCESSORY, FOR PEDIATRIC SIZE WHEELCHAIR, DYNAMIC SEATING"
12178,"E2300","POWER WHEELCHAIR ACCESSORY, POWER SEAT ELEVATION SYSTEM"
12179,"E2301","POWER WHEELCHAIR ACCESSORY, POWER STANDING SYSTEM"
12180,"E2310","POWER WHEELCHAIR ACCESSORY, ELECTRONIC CONNECTION BETWEEN WHEELCHAIR CONTROLLER"
12181,"E2311","POWER WHEELCHAIR ACCESSORY, ELECTRONIC CONNECTION BETWEEN WHEELCHAIR CONTROLLER"
12182,"E2312","POWER WHEELCHAIR ACCESSORY, HAND OR CHIN CONTROL INTERFACE, MINI-PROPORTIONAL"
12183,"E2313","POWER WHEELCHAIR ACCESSORY, HARNESS FOR UPGRADE TO EXPANDABLE CONTROLLER,"
12184,"E2321","POWER WHEELCHAIR ACCESSORY, HAND CONTROL INTERFACE, REMOTE JOYSTICK,"
12185,"E2322","POWER WHEELCHAIR ACCESSORY, HAND CONTROL INTERFACE, MULTIPLE MECHANICAL"
12186,"E2323","POWER WHEELCHAIR ACCESSORY, SPECIALTY JOYSTICK HANDLE FOR HAND CONTROL"
12187,"E2324","POWER WHEELCHAIR ACCESSORY, CHIN CUP FOR CHIN CONTROL INTERFACE"
12188,"E2325","POWER WHEELCHAIR ACCESSORY, SIP AND PUFF INTERFACE, NONPROPORTIONAL, INCLUDING"
12189,"E2326","POWER WHEELCHAIR ACCESSORY, BREATH TUBE KIT FOR SIP AND PUFF INTERFACE"
12190,"E2327","POWER WHEELCHAIR ACCESSORY, HEAD CONTROL INTERFACE, MECHANICAL, PROPORTIONAL,"
12191,"E2376","POWER WHEELCHAIR ACCESSORY, EXPANDABLE CONTROLLER, INCLUDING ALL RELATED"
12192,"E2377","POWER WHEELCHAIR ACCESSORY, EXPANDABLE CONTROLLER, INCLUDING ALL RELATED"
12193,"E2381","POWER WHEELCHAIR ACCESSORY, PNEUMATIC DRIVE WHEEL TIRE, ANY SIZE, REPLACEMENT"
12194,"E2382","POWER WHEELCHAIR ACCESSORY, TUBE FOR PNEUMATIC DRIVE WHEEL TIRE, ANY SIZE,"
12195,"E2383","POWER WHEELCHAIR ACCESSORY, INSERT FOR PNEUMATIC DRIVE WHEEL TIRE (REMOVABLE),"
12196,"E2384","POWER WHEELCHAIR ACCESSORY, PNEUMATIC CASTER TIRE, ANY SIZE, REPLACEMENT ONLY,"
12197,"E2385","POWER WHEELCHAIR ACCESSORY, TUBE FOR PNEUMATIC CASTER TIRE, ANY SIZE,"
12198,"E2386","POWER WHEELCHAIR ACCESSORY, FOAM FILLED DRIVE WHEEL TIRE, ANY SIZE, REPLACEMENT"
